Problem; NQUEENS; method; BACKTRACKING; size; 1; no_of_solutions; 1; total_time(ms); 0,039; first_solution_time(ms); 0,013; no_of_recursive_calls; 1
Problem; NQUEENS; method; BACKTRACKING; size; 2; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 3
Problem; NQUEENS; method; BACKTRACKING; size; 3; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 6
Problem; NQUEENS; method; BACKTRACKING; size; 4; no_of_solutions; 1; total_time(ms); 0,051; first_solution_time(ms); 0,034; no_of_recursive_calls; 8
Problem; NQUEENS; method; BACKTRACKING; size; 5; no_of_solutions; 1; total_time(ms); 0,052; first_solution_time(ms); 0,033; no_of_recursive_calls; 5
Problem; NQUEENS; method; BACKTRACKING; size; 6; no_of_solutions; 1; total_time(ms); 0,090; first_solution_time(ms); 0,070; no_of_recursive_calls; 31
Problem; NQUEENS; method; BACKTRACKING; size; 7; no_of_solutions; 1; total_time(ms); 0,058; first_solution_time(ms); 0,040; no_of_recursive_calls; 9
Problem; NQUEENS; method; BACKTRACKING; size; 8; no_of_solutions; 1; total_time(ms); 0,252; first_solution_time(ms); 0,232; no_of_recursive_calls; 113
Problem; NQUEENS; method; BACKTRACKING; size; 9; no_of_solutions; 1; total_time(ms); 0,131; first_solution_time(ms); 0,111; no_of_recursive_calls; 41
Problem; NQUEENS; method; BACKTRACKING; size; 10; no_of_solutions; 1; total_time(ms); 0,329; first_solution_time(ms); 0,304; no_of_recursive_calls; 102
Problem; NQUEENS; method; BACKTRACKING; size; 11; no_of_solutions; 1; total_time(ms); 0,205; first_solution_time(ms); 0,183; no_of_recursive_calls; 52
Problem; NQUEENS; method; BACKTRACKING; size; 12; no_of_solutions; 1; total_time(ms); 0,923; first_solution_time(ms); 0,899; no_of_recursive_calls; 261
Problem; NQUEENS; method; BACKTRACKING; size; 13; no_of_solutions; 1; total_time(ms); 0,469; first_solution_time(ms); 0,449; no_of_recursive_calls; 111
Problem; NQUEENS; method; BACKTRACKING; size; 14; no_of_solutions; 1; total_time(ms); 2,515; first_solution_time(ms); 2,488; no_of_recursive_calls; 1899
Problem; NQUEENS; method; BACKTRACKING; size; 15; no_of_solutions; 1; total_time(ms); 2,172; first_solution_time(ms); 2,148; no_of_recursive_calls; 1359
Problem; NQUEENS; method; BACKTRACKING; size; 16; no_of_solutions; 1; total_time(ms); 5,461; first_solution_time(ms); 5,430; no_of_recursive_calls; 10052
Problem; NQUEENS; method; BACKTRACKING; size; 17; no_of_solutions; 1; total_time(ms); 3,999; first_solution_time(ms); 3,969; no_of_recursive_calls; 5374
Problem; NQUEENS; method; BACKTRACKING; size; 18; no_of_solutions; 1; total_time(ms); 14,588; first_solution_time(ms); 14,491; no_of_recursive_calls; 41299
Problem; NQUEENS; method; BACKTRACKING; size; 19; no_of_solutions; 1; total_time(ms); 3,273; first_solution_time(ms); 3,224; no_of_recursive_calls; 2545
Problem; NQUEENS; method; BACKTRACKING; size; 20; no_of_solutions; 1; total_time(ms); 62,292; first_solution_time(ms); 62,155; no_of_recursive_calls; 199635
Problem; NQUEENS; method; BACKTRACKING; size; 21; no_of_solutions; 1; total_time(ms); 5,939; first_solution_time(ms); 5,905; no_of_recursive_calls; 8562
Problem; NQUEENS; method; BACKTRACKING; size; 22; no_of_solutions; 1; total_time(ms); 544,615; first_solution_time(ms); 544,466; no_of_recursive_calls; 1737188
Problem; NQUEENS; method; BACKTRACKING; size; 23; no_of_solutions; 1; total_time(ms); 12,719; first_solution_time(ms); 12,609; no_of_recursive_calls; 25428
Problem; NQUEENS; method; BACKTRACKING; size; 24; no_of_solutions; 1; total_time(ms); 145,588; first_solution_time(ms); 145,443; no_of_recursive_calls; 411608
Problem; NQUEENS; method; BACKTRACKING; size; 25; no_of_solutions; 1; total_time(ms); 21,466; first_solution_time(ms); 21,357; no_of_recursive_calls; 48683
Problem; NQUEENS; method; BACKTRACKING; size; 26; no_of_solutions; 1; total_time(ms); 155,978; first_solution_time(ms); 155,833; no_of_recursive_calls; 397699
Problem; NQUEENS; method; BACKTRACKING; size; 27; no_of_solutions; 1; total_time(ms); 193,339; first_solution_time(ms); 193,196; no_of_recursive_calls; 454213
Problem; NQUEENS; method; BACKTRACKING; size; 28; no_of_solutions; 1; total_time(ms); 1336,664; first_solution_time(ms); 1336,502; no_of_recursive_calls; 3006298
Problem; NQUEENS; method; BACKTRACKING; size; 29; no_of_solutions; 1; total_time(ms); 736,373; first_solution_time(ms); 736,197; no_of_recursive_calls; 1532239
Problem; NQUEENS; method; BACKTRACKING; size; 30; no_of_solutions; 1; total_time(ms); 29048,430; first_solution_time(ms); 29048,259; no_of_recursive_calls; 56429619
Problem; NQUEENS; method; BACKTRACKING; size; 31; no_of_solutions; 1; total_time(ms); 7112,379; first_solution_time(ms); 7112,207; no_of_recursive_calls; 13186250
Problem; NQUEENS; method; BACKTRACKING; size; 32; no_of_solutions; 1; total_time(ms); 49648,363; first_solution_time(ms); 49648,169; no_of_recursive_calls; 87491425
Problem; NQUEENS; method; FORWARDCHECKING; size; 1; no_of_solutions; 1; total_time(ms); 0,034; first_solution_time(ms); 0,010; no_of_recursive_calls; 1
Problem; NQUEENS; method; FORWARDCHECKING; size; 2; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 1
Problem; NQUEENS; method; FORWARDCHECKING; size; 3; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 3
Problem; NQUEENS; method; FORWARDCHECKING; size; 4; no_of_solutions; 1; total_time(ms); 0,046; first_solution_time(ms); 0,020; no_of_recursive_calls; 6
Problem; NQUEENS; method; FORWARDCHECKING; size; 5; no_of_solutions; 1; total_time(ms); 0,043; first_solution_time(ms); 0,016; no_of_recursive_calls; 5
Problem; NQUEENS; method; FORWARDCHECKING; size; 6; no_of_solutions; 1; total_time(ms); 0,062; first_solution_time(ms); 0,036; no_of_recursive_calls; 19
Problem; NQUEENS; method; FORWARDCHECKING; size; 7; no_of_solutions; 1; total_time(ms); 0,044; first_solution_time(ms); 0,019; no_of_recursive_calls; 7
Problem; NQUEENS; method; FORWARDCHECKING; size; 8; no_of_solutions; 1; total_time(ms); 0,126; first_solution_time(ms); 0,101; no_of_recursive_calls; 53
Problem; NQUEENS; method; FORWARDCHECKING; size; 9; no_of_solutions; 1; total_time(ms); 0,075; first_solution_time(ms); 0,050; no_of_recursive_calls; 21
Problem; NQUEENS; method; FORWARDCHECKING; size; 10; no_of_solutions; 1; total_time(ms); 0,139; first_solution_time(ms); 0,114; no_of_recursive_calls; 53
Problem; NQUEENS; method; FORWARDCHECKING; size; 11; no_of_solutions; 1; total_time(ms); 0,089; first_solution_time(ms); 0,063; no_of_recursive_calls; 24
Problem; NQUEENS; method; FORWARDCHECKING; size; 12; no_of_solutions; 1; total_time(ms); 0,302; first_solution_time(ms); 0,276; no_of_recursive_calls; 111
Problem; NQUEENS; method; FORWARDCHECKING; size; 13; no_of_solutions; 1; total_time(ms); 0,180; first_solution_time(ms); 0,150; no_of_recursive_calls; 54
Problem; NQUEENS; method; FORWARDCHECKING; size; 14; no_of_solutions; 1; total_time(ms); 1,983; first_solution_time(ms); 1,925; no_of_recursive_calls; 875
Problem; NQUEENS; method; FORWARDCHECKING; size; 15; no_of_solutions; 1; total_time(ms); 1,352; first_solution_time(ms); 1,305; no_of_recursive_calls; 605
Problem; NQUEENS; method; FORWARDCHECKING; size; 16; no_of_solutions; 1; total_time(ms); 5,163; first_solution_time(ms); 5,091; no_of_recursive_calls; 4378
Problem; NQUEENS; method; FORWARDCHECKING; size; 17; no_of_solutions; 1; total_time(ms); 3,137; first_solution_time(ms); 3,091; no_of_recursive_calls; 2488
Problem; NQUEENS; method; FORWARDCHECKING; size; 18; no_of_solutions; 1; total_time(ms); 10,094; first_solution_time(ms); 10,041; no_of_recursive_calls; 17625
Problem; NQUEENS; method; FORWARDCHECKING; size; 19; no_of_solutions; 1; total_time(ms); 1,936; first_solution_time(ms); 1,896; no_of_recursive_calls; 1116
Problem; NQUEENS; method; FORWARDCHECKING; size; 20; no_of_solutions; 1; total_time(ms); 36,050; first_solution_time(ms); 35,905; no_of_recursive_calls; 84400
Problem; NQUEENS; method; FORWARDCHECKING; size; 21; no_of_solutions; 1; total_time(ms); 4,249; first_solution_time(ms); 4,209; no_of_recursive_calls; 3449
Problem; NQUEENS; method; FORWARDCHECKING; size; 22; no_of_solutions; 1; total_time(ms); 258,091; first_solution_time(ms); 257,928; no_of_recursive_calls; 703200
Problem; NQUEENS; method; FORWARDCHECKING; size; 23; no_of_solutions; 1; total_time(ms); 10,084; first_solution_time(ms); 10,030; no_of_recursive_calls; 10128
Problem; NQUEENS; method; FORWARDCHECKING; size; 24; no_of_solutions; 1; total_time(ms); 70,733; first_solution_time(ms); 70,583; no_of_recursive_calls; 167430
Problem; NQUEENS; method; FORWARDCHECKING; size; 25; no_of_solutions; 1; total_time(ms); 14,851; first_solution_time(ms); 14,792; no_of_recursive_calls; 19096
Problem; NQUEENS; method; FORWARDCHECKING; size; 26; no_of_solutions; 1; total_time(ms); 71,557; first_solution_time(ms); 71,413; no_of_recursive_calls; 158964
Problem; NQUEENS; method; FORWARDCHECKING; size; 27; no_of_solutions; 1; total_time(ms); 84,733; first_solution_time(ms); 84,593; no_of_recursive_calls; 180412
Problem; NQUEENS; method; FORWARDCHECKING; size; 28; no_of_solutions; 1; total_time(ms); 532,084; first_solution_time(ms); 531,930; no_of_recursive_calls; 1201895
Problem; NQUEENS; method; FORWARDCHECKING; size; 29; no_of_solutions; 1; total_time(ms); 265,213; first_solution_time(ms); 265,051; no_of_recursive_calls; 569277
Problem; NQUEENS; method; FORWARDCHECKING; size; 30; no_of_solutions; 1; total_time(ms); 10198,317; first_solution_time(ms); 10198,149; no_of_recursive_calls; 22019675
Problem; NQUEENS; method; FORWARDCHECKING; size; 31; no_of_solutions; 1; total_time(ms); 2464,329; first_solution_time(ms); 2464,159; no_of_recursive_calls; 5082020
Problem; NQUEENS; method; FORWARDCHECKING; size; 32; no_of_solutions; 1; total_time(ms); 16874,315; first_solution_time(ms); 16874,150; no_of_recursive_calls; 33510767
Problem; NQUEENS; method; BACKTRACKING; size; 1; no_of_solutions; 1; total_time(ms); 0,032; first_solution_time(ms); 0,007; no_of_recursive_calls; 1
Problem; NQUEENS; method; BACKTRACKING; size; 2; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 3
Problem; NQUEENS; method; BACKTRACKING; size; 3; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 6
Problem; NQUEENS; method; BACKTRACKING; size; 4; no_of_solutions; 2; total_time(ms); 0,056; first_solution_time(ms); 0,033; no_of_recursive_calls; 15
Problem; NQUEENS; method; BACKTRACKING; size; 5; no_of_solutions; 10; total_time(ms); 0,090; first_solution_time(ms); 0,031; no_of_recursive_calls; 44
Problem; NQUEENS; method; BACKTRACKING; size; 6; no_of_solutions; 4; total_time(ms); 0,238; first_solution_time(ms); 0,073; no_of_recursive_calls; 149
Problem; NQUEENS; method; BACKTRACKING; size; 7; no_of_solutions; 40; total_time(ms); 0,829; first_solution_time(ms); 0,040; no_of_recursive_calls; 512
Problem; NQUEENS; method; BACKTRACKING; size; 8; no_of_solutions; 92; total_time(ms); 1,645; first_solution_time(ms); 0,232; no_of_recursive_calls; 1965
Problem; NQUEENS; method; BACKTRACKING; size; 9; no_of_solutions; 352; total_time(ms); 3,515; first_solution_time(ms); 0,111; no_of_recursive_calls; 8042
Problem; NQUEENS; method; BACKTRACKING; size; 10; no_of_solutions; 724; total_time(ms); 9,079; first_solution_time(ms); 0,285; no_of_recursive_calls; 34815
Problem; NQUEENS; method; BACKTRACKING; size; 11; no_of_solutions; 2680; total_time(ms); 32,366; first_solution_time(ms); 0,175; no_of_recursive_calls; 164246
Problem; NQUEENS; method; BACKTRACKING; size; 12; no_of_solutions; 14200; total_time(ms); 158,403; first_solution_time(ms); 0,875; no_of_recursive_calls; 841989
Problem; NQUEENS; method; BACKTRACKING; size; 13; no_of_solutions; 73712; total_time(ms); 949,083; first_solution_time(ms); 0,443; no_of_recursive_calls; 4601178
Problem; NQUEENS; method; BACKTRACKING; size; 14; no_of_solutions; 365596; total_time(ms); 5784,496; first_solution_time(ms); 2,352; no_of_recursive_calls; 26992957
Problem; NQUEENS; method; BACKTRACKING; size; 15; no_of_solutions; 2279184; total_time(ms); 38707,756; first_solution_time(ms); 2,155; no_of_recursive_calls; 168849888
Problem; NQUEENS; method; FORWARDCHECKING; size; 1; no_of_solutions; 1; total_time(ms); 0,040; first_solution_time(ms); 0,010; no_of_recursive_calls; 1
Problem; NQUEENS; method; FORWARDCHECKING; size; 2; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 1
Problem; NQUEENS; method; FORWARDCHECKING; size; 3; no_of_solutions; 0; total_time(ms); 0,000; first_solution_time(ms); 0,000; no_of_recursive_calls; 3
Problem; NQUEENS; method; FORWARDCHECKING; size; 4; no_of_solutions; 2; total_time(ms); 0,051; first_solution_time(ms); 0,020; no_of_recursive_calls; 11
Problem; NQUEENS; method; FORWARDCHECKING; size; 5; no_of_solutions; 10; total_time(ms); 0,074; first_solution_time(ms); 0,015; no_of_recursive_calls; 40
Problem; NQUEENS; method; FORWARDCHECKING; size; 6; no_of_solutions; 4; total_time(ms); 0,150; first_solution_time(ms); 0,036; no_of_recursive_calls; 83
Problem; NQUEENS; method; FORWARDCHECKING; size; 7; no_of_solutions; 40; total_time(ms); 0,435; first_solution_time(ms); 0,020; no_of_recursive_calls; 294
Problem; NQUEENS; method; FORWARDCHECKING; size; 8; no_of_solutions; 92; total_time(ms); 1,237; first_solution_time(ms); 0,100; no_of_recursive_calls; 1073
Problem; NQUEENS; method; FORWARDCHECKING; size; 9; no_of_solutions; 352; total_time(ms); 2,468; first_solution_time(ms); 0,049; no_of_recursive_calls; 4368
Problem; NQUEENS; method; FORWARDCHECKING; size; 10; no_of_solutions; 724; total_time(ms); 6,160; first_solution_time(ms); 0,112; no_of_recursive_calls; 16765
Problem; NQUEENS; method; FORWARDCHECKING; size; 11; no_of_solutions; 2680; total_time(ms); 21,143; first_solution_time(ms); 0,063; no_of_recursive_calls; 76074
Problem; NQUEENS; method; FORWARDCHECKING; size; 12; no_of_solutions; 14200; total_time(ms); 90,415; first_solution_time(ms); 0,275; no_of_recursive_calls; 383107
Problem; NQUEENS; method; FORWARDCHECKING; size; 13; no_of_solutions; 73712; total_time(ms); 461,821; first_solution_time(ms); 0,149; no_of_recursive_calls; 2066270
Problem; NQUEENS; method; FORWARDCHECKING; size; 14; no_of_solutions; 365596; total_time(ms); 2688,816; first_solution_time(ms); 1,447; no_of_recursive_calls; 11812473
Problem; NQUEENS; method; FORWARDCHECKING; size; 15; no_of_solutions; 2279184; total_time(ms); 17076,786; first_solution_time(ms); 1,265; no_of_recursive_calls; 72646198
